,Name,MRP,Discounted Price,Manufacturer
240,Bioderma Node Ds+ Shampooing Anti-Dandruff Intense Shampoo 125 ml,1607.00,,Mkt: Naos Skin Care India Pvt Ltd
241,Baidyanath Kesari Kalp Royal Chyawanprash 500 gm,420.00,399.00,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
242,Banjaras Hair Care Powder - Bhringraj 100 gm,80.00,76.00,Mkt: Banjara Herbals Pvt Ltd
243,Bigbro OD Tablet 10'S,227.00,186.14,Mkt: Intas Pharmaceuticals Ltd
244,Budate 400 Transcap 30'S,183.00,150.06,Mkt: Lupin Ltd
245,Betadine First Aid Solution 50ml,97.44,79.90,Mkt: Win Medicare Pvt Ltd
246,Brozeet New Syrup 100ml,121.90,99.96,Mkt: Alembic Pharmaceuticals Ltd
247,Biotor 10mg Tablet 10'S,54.94,45.05,Mkt: Lividus Pharmaceuticals Pvt Ltd
248,Bidin LS TM Eye Drops 5ml,293.00,240.26,Mkt: Ajanta Pharma Ltd
249,Biovas 10mg Tablet 10'S,55.32,45.36,Mkt: Biochem Pharmaceutical Industries Ltd
250,BLYNDS AC SPF 30+ PA+++ SUNSCREEN Gel 50gm,625.00,512.50,Mkt: Intas Pharmaceuticals Ltd
251,Benfica Capsule 10'S,145.00,118.90,Mkt: Linux Laboratories Pvt Ltd
252,Britesite Eye Drops 10ml,77.62,63.65,Mkt: Centaur Pharmaceuticals Pvt Ltd
253,Baidyanath Gaisantak Bati Tablet 100's,140.00,133.00,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
254,Bunase 0.5mg Respule 5X2ml,131.50,107.83,Mkt: Macleods Pharmaceuticals Pvt Ltd
255,Banjaras Premium Rose Water 120 ml,50.00,47.50,Mkt: Banjara Herbals Pvt Ltd
256,Baidyanath Madhumehari Granules 200 gm,350.00,332.50,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
257,Bacfen XL 10mg Capsule 10'S,165.00,135.30,Mkt: Icon Life Sciences
258,Kids Bunny Strawberry Mint Flavour Dental Gel 80gm,113.00,92.66,Mkt: ICPA HEALTH PRODUCT LTD
259,Biotique Almond Oil Nourishing Body Soap 150 gm,105.00,,Mkt: Bio Veda Action Research Company
260,Brintellix 20mg Tablet 10'S,1244.00,1020.08,Mkt: Lundbeck India Pvt Ltd
261,Bioderma Sebium Hydra Moisturizer for Acne 40 ml,1195.00,,Mkt: Naos Skin Care India Pvt Ltd
262,Bromhexine Elixir 120ml,143.00,117.26,Mkt: Ipca Laboratories Ltd
263,Beclate 200 Rotacap 30'S,128.83,105.64,Mkt: Cipla Ltd
264,"Biotique Bio Fruit Whitening, Depigmentation & Tan Removal Face Pack 75 gm",199.00,198.60,Mkt: Bio Veda Action Research Company
265,Brace 100mg Capsule 10'S,95.00,77.90,Mkt: Icarus Health Care Pvt Ltd
266,Bestozyme Drops 15ml,75.55,61.95,Mkt: Biological E Ltd
267,BENEPACK 8mg Tablet 15's,179.08,146.85,Mkt: Koye Pharmaceuticals Pvt Ltd
268,Budetrol 400 Inhaler 120md 1's,440.74,361.41,Mkt: Macleods Pharmaceuticals Pvt Ltd
269,Bvert 16mg Tablet 10'S,130.00,106.60,Mkt: Icon Life Sciences
270,BIFILAC GG Sugar Free Vanilla Flavour Granules 0.75gm,45.00,36.90,Mkt: Tablets India Ltd
271,Bromvue Eye Drops 5ml,170.45,139.77,Mkt: Ipca Laboratories Ltd
272,Baidyanath Vita-Ex Gold Plus 10's,410.00,389.50,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
273,Bioderma Atoderm Intensive Baume 200 ml,1513.00,,Mkt: Naos Skin Care India Pvt Ltd
274,Betadine Ointment 250gm,606.50,497.33,Mkt: Win Medicare Pvt Ltd
275,Basalog 100IU Injection 1X3ml,564.55,462.93,Mkt: Biocon Ltd
276,Brakke Tablet 10'S,150.50,123.41,Mkt: Franco Indian Pharmaceuticals Pvt Ltd
277,Betalol 2.5mg Tablet 10'S,68.00,55.76,Mkt: East West Pharma
